date,price
16-Jan,31.68
16-Feb,30.32
16-Mar,37.55
16-Apr,40.75
16-May,46.71
16-Jun,48.76
16-Jul,44.65
16-Aug,44.72
16-Sep,45.18
16-Oct,49.78
16-Nov,45.66
16-Dec,51.97
17-Jan,52.5
17-Feb,53.47
17-Mar,49.33
17-Apr,51.06
17-May,48.48
17-Jun,45.18
17-Jul,46.63
17-Aug,48.04
17-Sep,49.82
17-Oct,51.58
17-Nov,56.64
17-Dec,57.88
18-Jan,63.7
18-Feb,62.23
18-Mar,62.73
18-Apr,66.25
18-May,69.98
18-Jun,67.87
18-Jul,70.98
18-Aug,68.06
18-Sep,70.23
18-Oct,70.75
18-Nov,56.96
18-Dec,50